Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,209.500000,210.199997,206.000000,206.300003,197.019226,9936365
2021-08-24,207.000000,207.000000,204.699997,205.750000,196.493958,12490094
2021-08-25,206.399994,207.899994,206.000000,206.399994,197.114716,10586894
2021-08-26,206.399994,206.850006,204.350006,204.600006,195.395706,14836173
2021-08-27,205.000000,206.850006,204.899994,205.899994,196.637207,10476384
2021-08-30,206.000000,208.199997,206.000000,208.000000,198.642746,12084844
2021-08-31,208.050003,211.600006,207.250000,211.300003,201.794281,25808430
2021-09-01,211.000000,212.300003,209.300003,209.500000,200.075272,16241960
2021-09-02,209.000000,211.500000,209.000000,209.750000,200.314011,14321164
2021-09-03,209.750000,211.250000,209.750000,210.600006,201.125793,10228853
2021-09-06,211.000000,211.199997,209.050003,209.300003,199.884262,10632156
2021-09-07,210.899994,214.350006,210.149994,211.750000,202.224045,37489544
2021-09-08,212.250000,213.000000,209.699997,211.250000,201.746536,17233315
2021-09-09,211.050003,213.899994,210.550003,212.649994,203.083542,19051252
2021-09-13,213.350006,215.149994,211.800003,214.149994,204.516068,16043896
2021-09-14,214.899994,217.250000,214.199997,216.100006,206.378342,19621849
2021-09-15,217.100006,217.199997,215.300003,216.000000,206.282852,20248758
2021-09-16,216.949997,233.649994,216.300003,230.750000,220.369293,149238901
2021-09-17,233.000000,237.300003,229.100006,231.149994,220.751297,79501805
2021-09-20,231.000000,239.350006,230.250000,233.750000,223.234329,70390969
2021-09-21,234.949997,242.449997,231.699997,241.500000,230.635681,56671832
2021-09-22,243.500000,245.800003,240.699997,243.500000,232.545700,52621868
2021-09-23,245.000000,245.600006,241.699997,242.500000,231.590698,21791090
2021-09-24,244.000000,244.000000,237.699997,238.449997,227.722885,24823291
2021-09-27,239.800003,241.850006,235.500000,238.699997,227.961639,22890540
2021-09-28,239.850006,241.600006,236.300003,237.750000,227.054382,15713947
2021-09-29,236.000000,241.399994,235.699997,238.100006,227.388641,15450046
2021-09-30,239.899994,240.399994,235.250000,236.149994,225.526352,16357902
2021-10-01,235.199997,237.000000,232.899994,235.350006,224.762360,15956143
2021-10-04,236.000000,238.350006,235.399994,236.600006,225.956131,10686552
2021-10-05,236.399994,237.449997,234.500000,234.699997,224.141586,9223597
2021-10-06,234.800003,236.399994,230.600006,231.250000,220.846802,17505160
2021-10-07,233.000000,234.949997,232.300003,232.949997,222.470306,10371535
2021-10-08,234.750000,234.800003,231.199997,231.699997,221.276550,9739240
2021-10-11,232.000000,239.500000,231.699997,238.050003,227.340897,21184428
2021-10-12,238.600006,243.000000,238.000000,241.300003,230.444687,29222028
2021-10-13,242.550003,250.899994,240.149994,249.199997,237.989288,50159625
2021-10-14,253.250000,261.850006,250.350006,256.549988,245.008621,85406902
2021-10-18,261.000000,265.299988,257.350006,262.549988,250.738708,60292901
2021-10-19,261.399994,262.549988,245.050003,245.949997,234.885483,59061766
2021-10-20,245.949997,248.500000,242.350006,246.600006,235.506256,47822165
2021-10-21,248.000000,248.350006,243.100006,244.699997,233.691727,22518727
2021-10-22,244.699997,245.800003,233.699997,236.600006,225.956131,35537151
2021-10-25,234.100006,236.649994,230.500000,233.399994,222.900085,22333919
2021-10-26,234.100006,239.000000,232.600006,236.699997,226.051620,18934170
2021-10-27,240.250000,241.300003,236.199997,238.449997,227.722885,25911499
2021-10-28,235.100006,235.949997,224.149994,225.100006,214.973465,46282465
2021-10-29,225.000000,228.250000,222.300003,223.199997,213.158936,26642108
2021-11-01,224.149994,227.550003,222.500000,226.850006,216.644745,23197539
2021-11-02,228.000000,229.250000,224.500000,225.600006,215.450974,14343859
2021-11-03,226.000000,226.850006,221.699997,222.449997,212.442688,17843327
2021-11-04,224.850006,227.300003,224.000000,226.550003,216.358231,7024796
2021-11-08,229.699997,230.699997,225.699997,229.800003,219.462036,20270558
2021-11-09,229.850006,230.899994,227.850006,228.750000,218.459274,11520817
2021-11-10,227.449997,232.850006,227.199997,230.850006,220.464798,13431108
2021-11-11,230.399994,231.500000,228.550003,230.000000,219.653030,8134962
2021-11-12,231.199997,233.949997,229.149994,232.899994,222.422577,11855531
2021-11-15,233.949997,239.000000,233.100006,238.100006,227.388641,38755267
2021-11-16,239.050003,239.649994,235.000000,235.449997,224.857849,14675969
2021-11-17,236.000000,245.250000,235.649994,239.500000,228.725647,46697822
2021-11-18,240.000000,243.000000,236.300003,237.500000,226.815628,20226071
2021-11-22,237.899994,240.750000,229.550003,230.899994,220.512543,22574227
2021-11-23,229.149994,232.699997,229.149994,231.600006,221.181061,13433385
2021-11-24,232.449997,232.699997,226.949997,227.699997,217.456497,14139854
2021-11-25,227.000000,232.199997,225.750000,231.300003,220.894562,23904846
2021-11-26,228.899994,230.050003,223.100006,224.000000,213.922943,27027022
2021-11-29,222.000000,223.649994,220.199997,221.500000,211.535431,22132952
2021-11-30,222.000000,225.199997,220.000000,221.149994,211.201157,23503453
2021-12-01,222.000000,223.300003,220.600006,221.899994,211.917419,12995800
2021-12-02,221.899994,226.149994,221.300003,225.449997,215.307724,15904846
2021-12-03,225.000000,226.199997,221.350006,221.649994,211.678665,13794647
2021-12-06,221.649994,222.199997,217.500000,217.899994,208.097366,13138355
2021-12-07,218.899994,221.949997,218.100006,220.649994,210.723648,8903842
2021-12-08,221.000000,225.649994,221.000000,224.949997,214.830215,9861847
2021-12-09,223.000000,236.449997,223.000000,235.399994,224.810104,38241864
2021-12-10,236.199997,238.949997,233.750000,236.100006,225.478622,35162889
2021-12-13,238.000000,238.750000,234.149994,234.600006,224.046097,22054342
2021-12-14,235.000000,237.100006,227.550003,228.600006,218.316010,37508445
2021-12-15,230.000000,232.199997,223.399994,224.050003,213.970703,34653042
2021-12-16,226.000000,226.149994,220.800003,222.899994,212.872437,24199205
2021-12-17,222.800003,222.850006,216.750000,217.949997,208.145126,29683982
2021-12-20,216.250000,216.250000,209.800003,212.399994,202.844803,37340790
2021-12-21,214.000000,215.449997,211.050003,212.500000,202.940308,19395604
2021-12-22,214.000000,214.199997,211.100006,212.000000,202.462799,17239484
2021-12-23,213.899994,218.449997,213.199997,217.300003,207.524368,22209720
2021-12-24,218.000000,220.449997,216.449997,218.000000,208.192886,16581585
2021-12-27,218.399994,218.449997,215.649994,217.550003,207.763107,8153106
2021-12-28,218.000000,220.600006,218.000000,220.050003,210.150650,11568803
2021-12-29,220.000000,220.300003,216.300003,216.750000,206.999100,11480954
2021-12-30,216.600006,217.899994,215.500000,216.000000,206.282852,9741198
2021-12-31,216.899994,218.800003,216.149994,218.050003,208.240616,7583815
2022-01-03,218.050003,219.850006,217.050003,219.100006,209.243393,7765495
2022-01-04,219.500000,221.699997,219.050003,220.250000,210.341660,9050253
2022-01-05,219.649994,221.500000,218.649994,220.550003,210.628159,11230588
2022-01-06,219.000000,220.399994,218.199997,218.699997,208.861374,8950589
2022-01-07,219.800003,220.649994,217.500000,218.399994,208.574875,8855041
2022-01-10,219.899994,224.699997,218.899994,223.300003,213.254456,15841299
2022-01-11,223.350006,224.250000,221.199997,221.949997,211.965179,8020695
2022-01-12,222.500000,223.649994,221.600006,222.750000,212.729187,13158894
2022-01-13,223.899994,225.800003,222.750000,223.949997,213.875198,11501088
2022-01-14,223.949997,224.800003,222.300003,222.600006,212.585938,10569725
2022-01-17,222.600006,225.600006,221.350006,224.600006,214.495956,12318313
2022-01-18,224.600006,227.300003,220.300003,220.750000,210.819153,14394097
2022-01-19,220.750000,222.399994,218.699997,220.350006,210.437164,11473796
2022-01-20,220.550003,222.149994,218.000000,218.750000,208.909134,17329896
2022-01-21,218.500000,220.500000,216.000000,217.050003,207.285629,16586264
2022-01-24,217.050003,217.750000,210.899994,211.800003,202.271790,17354942
2022-01-25,212.000000,214.699997,209.550003,214.300003,204.659332,18322935
2022-01-27,211.250000,215.500000,211.100006,214.600006,204.945831,23149684
2022-01-28,215.100006,219.250000,215.100006,217.600006,207.810867,15276991
2022-01-31,218.500000,220.750000,217.100006,220.199997,210.293900,15039006
2022-02-01,221.000000,228.800003,219.149994,227.750000,217.504257,43207074
2022-02-02,230.000000,233.300003,229.000000,232.149994,221.706299,41130638
2022-02-03,232.149994,235.199997,231.800003,234.449997,223.902832,27845963
2022-02-04,237.250000,238.500000,231.550003,234.300003,223.759598,56705951
2022-02-07,234.000000,234.750000,228.500000,230.199997,219.844025,24171083
2022-02-08,230.300003,232.300003,229.050003,231.250000,220.846802,16201280
2022-02-09,232.300003,233.000000,228.750000,230.149994,219.796280,11893807
2022-02-10,228.699997,233.399994,227.750000,232.250000,221.801819,19563580
2022-02-11,232.000000,233.300003,229.800003,232.449997,221.992798,18096561
2022-02-14,226.000000,226.000000,218.500000,219.449997,214.420441,22745228
2022-02-15,221.000000,223.500000,218.550003,223.000000,217.889084,12875311
2022-02-16,223.800003,224.699997,221.850006,222.750000,217.644806,11231596
2022-02-17,223.050003,224.350006,220.850006,222.649994,217.547089,14024149
2022-02-18,222.649994,223.449997,221.500000,221.899994,216.814285,8670947
2022-02-21,220.300003,221.300003,217.149994,218.000000,213.003677,16129017
2022-02-22,215.000000,216.899994,213.000000,214.850006,209.925873,25749340
2022-02-23,216.800003,217.500000,215.050003,215.949997,211.000656,11014283
2022-02-24,210.000000,213.300003,207.000000,208.500000,203.721405,41341523
2022-02-25,211.500000,216.500000,210.550003,213.949997,209.046494,23633656
2022-02-28,213.199997,216.449997,210.800003,215.850006,210.902954,20034633
2022-03-02,214.399994,216.600006,212.449997,215.300003,210.365555,19295994
2022-03-03,216.050003,220.199997,216.000000,219.399994,214.371582,28532668
2022-03-04,217.699997,227.399994,217.000000,225.500000,220.331772,66835736
2022-03-07,222.000000,227.000000,220.100006,224.949997,219.794388,45258669
2022-03-08,223.899994,228.449997,223.750000,226.899994,221.699692,36036336
2022-03-09,227.699997,231.399994,226.100006,229.250000,223.995834,42294906
2022-03-10,231.000000,232.500000,227.850006,232.000000,226.682800,36132245
2022-03-11,231.899994,237.100006,230.149994,236.350006,230.933121,41699184
2022-03-14,236.250000,239.449997,235.300003,239.000000,233.522369,35113638
2022-03-15,239.000000,241.399994,235.899994,237.850006,232.398743,32998305
2022-03-16,240.000000,243.000000,239.100006,242.600006,237.039871,21629521
2022-03-17,245.250000,245.399994,242.699997,244.899994,239.287140,34223740
2022-03-21,245.899994,247.750000,243.800003,244.500000,238.896317,27975134
2022-03-22,244.550003,250.750000,243.550003,249.750000,244.026001,36945426
2022-03-23,251.449997,253.699997,248.500000,252.000000,246.224426,40491633
